address,maxClaimable
0x0008ddf90c8a77cefcf1bc898c1eab61506d4283,1
0x0100e22f222753f6021abeb3f7e4af4c57467cc9,1
0x016109f4a1c13eb48aa0abcd18ecca302544e32a,1
0x017e8cf9710818a838972cf80d64c61a702cf864,1
0x019ae3430263f42254d22f427f8dcf3f5f7ba9ff,1
0x02a17545e424be3492af47fed0d16ff79ec88c4b,1
0x030745377d953913b2af2a64d961287ff800f7e0,1
0x0346b376f5f57d06d71296f29961694635121df9,1
0x0395ac5e814d57ce618f32777c5a5db498b48f56,1
0x053e6294400a9268e35df445624f58087c7f388f,1
0x05f7f84d72793c57fea003f24513515902c2a524,1
0x069398d0e163a61e6e4c864b3e49d71fd1ba2214,1
0x07aa0abdb74d1a71239d1f8b31e3d9cd1554c261,1
0x0b4e71a3769e171c07815ebc2d60879a480e323e,1
0x0c9f5d112728213c6ada38365d4e41c190f50e60,1
0x0d797a97771a057371c2206053a684ae4f93e932,1
0x0e0aa243121c8c29936a0588bd2bf60afab7cbf5,1
0x0e2ae09c06c7c541033b9aa0df05b2d6495a21c1,1
0x0f7a1e945b12867e17cfc077649e584de032e1d1,1
0x0f814b68a5ce5962ccc7ceb66801adf63d31dc56,1
0x0fe811e541a1612873f7f4046563681273c643f2,1
0x114a42894df4fd56e01d55b68d102097d1b39149,1
0x11a768135f9555f1e6deb698158b36722ea19fcd,1
0x127fbd8d572a67eb855266863d962df84fe22b11,1
0x12ad254146be4b056db5bf68d335b4c243a12e07,1
0x12d33bf6dff723db23ced05971d53b1fa08f9b5f,1
0x15fd652efb091dcb029dae0525616a37cdcc76b9,1
0x1655e400492c71de855178301aa4f8095c4753d2,1
0x16fdf79d77413e6cf6f4b56f552399433bc04be5,1
0x1724529f77af3cacc35fb857dfa6ddfe4254cf69,1
0x17483a88242f13198ec6a4a9f1d92665676a3e95,1
0x19c746c30cbaef3dbb64395d004aa0b58e88a4a8,1
0x1ae169e4e3f823687e40a8b22cda1cd1b4c8aa90,1
0x1b341ae8c0b0435559089041f5836cafd577f3a4,1
0x1c85bee4ba5bc9a6cdda0b2053f7ae0b905604e7,1
0x1e957a10796552cbd7d5c31439a5e8345db569a4,1
0x1f4c10fe51cdf498e02f1393168686088ed9b222,1
0x1f916bbf39ab189a9e3d9e1823a7b1a8e9e5f204,1
0x201a9a2c6d00c3df14dc33de877def5e8a5692ab,1
0x213b7e08c777eb8a354665cb78f7f471a583ee9f,1
0x222bcbf8e3df77ee64f6b6271eea2aea151e6cdc,1
0x22ba1e3ef17609151fb322cfca979fe0d85248f7,1
0x2302e8505354918b9693cf3722b18ecc17910039,1
0x249b10a3321274ecdc822200ec1837a12679379a,1
0x24e8253e8bb5fb20771cccfec01cdf115b43abc7,1
0x2550d50d0fa9477e4bcdc21626f2edfb94f3cbf7,1
0x25816f5bec85a63311ad393ce36157429b24dfd0,1
0x25e07bcc27d798037ff09906e5dcaff204cfa1d3,1
0x260a03c6576556484141cb4d0bf6b464c2ac519a,1
0x265756ebba771e69e11529dc0d5bebec98b883ad,1
0x2775f341fee7dc2e6cbaaf81cdd753d9e565418c,1
0x280337dd2542787993b48feeffa841dbd4543c5d,1
0x28101eb0ecb109ba732c19761845fd4ae56592c9,1
0x28842204119ea12440baec0fa9f5fb0f825f1eb5,1
0x28a11b00e409eef13dd6596bca34c9781546e4ab,1
0x2910a735599e644628bdcb634949e58eb3c5528e,1
0x291a1cacd70f571fdb445f1899a75afe3e774faa,1
0x297ff08f9c0890e9e6ead3c3611e6fa0d5be6d27,1
